,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,acousticness,artists,energy,id,name,year,genres
11223,11579,12548,17681,51055,0.863,Sun Ra,0.368,1WwO85Z0H144SW8RDSTmCo,But Not For Me,1960,african american
11224,11580,12601,17745,51124,0.914,Sun Ra,0.128,6RsQufcB3cbq4zPfSjo5wG,I Loves You Porgy,1960,african american
11225,11581,12707,17881,59304,0.8859999999999999,Sun Ra,0.212,0KxXGomvo6RFmiEfDv2MSQ,Early Autumn,1960,african american
11226,11582,12708,17882,59305,0.753,Sun Ra,0.0789,0OOPMkb4PGNdqKpy4bMrAs,Holiday for Strings,1960,african american
11227,11583,12768,17958,59391,0.037000000000000005,Sun Ra,0.353,45Czpw4y06gQDCCDzCiYxD,Day By Day,1960,african american
11228,11584,12819,18025,67461,0.282,Sun Ra,0.168,74SovU6Vrrm5tQo2ka6unL,Fate In a Pleasant Mood,1960,african american
11229,11585,12847,18065,67505,0.9229999999999999,Sun Ra,0.145,1EdIXf3mCagmeItIhNTk7e,Body and Soul,1960,african american
11230,11586,12882,18106,67552,0.887,Sun Ra,0.18,2TMXdzLt10aqP8MB2AmNKW,Space Mates,1960,african american
11231,11587,12919,18155,67608,0.256,Sun Ra,0.166,4GOJmTcgXpk49qLadyvvTC,Dorothy's Dance,1960,african american
11232,11588,12974,18225,75684,0.8590000000000001,Sun Ra,0.516,6deOFrWZTfwrmIneKxSMYw,Keep Your Sunny Side Up,1960,african american
11629,12005,12145,17188,26653,0.595,Jim and Jesse and the Virginia Boys,0.265,1NX3FT5Ba82aLZYog5jdQn,Kneel At The Cross,1960,african american
11630,12006,12474,17593,42954,0.389,Jim and Jesse and the Virginia Boys,0.526,1nxEdad3VGycB70OKxIxu8,Ole Slew Foot,1960,african american
12141,12517,12217,17278,34653,0.887,Mahalia Jackson,0.299,2UNrIo9MtytiZ9AQkDZAtl,Somebody Bigger Than You and I,1960,african american
12142,12518,12231,17298,34674,0.86,Mahalia Jackson,0.37799999999999995,6v5bh4LPDvbOrFsPljZJPe,In The Garden,1960,african american
12143,12519,12265,17339,34717,0.857,Mahalia Jackson,0.369,0TkdPeJJszpGxpr3v9iqIS,"Holy, Holy, Holy!",1960,african american
12144,12520,12294,17373,34752,0.902,Mahalia Jackson,0.332,0SPZmTIrCp5dCJ4q101wjd,My Country 'Tis Of Thee (America),1960,african american
